animeID,name,source,producers,genre,studio,episodes,airing,rank,popularity,members,favorites,reviewers,Animation_score
1,Cowboy Bebop,Original,Bandai Visual,Action,Sunrise,26,FALSE,26,39,795733,43460,405664,8.81
5,Cowboy Bebop: Tengoku no Tobira,Original,Sunrise,Action,Bones,1,FALSE,164,449,197791,776,120243,8.41
6,Trigun,Manga,Victor Entertainment,Action,Madhouse,26,FALSE,255,146,408548,10432,212537,8.3
7,Witch Hunter Robin,Original,Bandai Visual,Action,Sunrise,26,FALSE,2371,1171,79397,537,32837,7.33
8,Bouken Ou Beet,Manga,TV Tokyo,Adventure,Toei Animation,52,FALSE,3544,3704,11708,14,4894,7.03
16,Hachimitsu to Clover,Manga,Genco,Comedy,J.C.Staff,24,FALSE,419,536,172274,3752,57065,8.12
17,Hungry Heart: Wild Striker,Manga,,Slice of Life,Nippon Animation,52,FALSE,1186,3124,17145,210,9307,7.67
18,Initial D Fourth Stage,Manga,OB Planning,Action,A.C.G.T.,24,FALSE,298,1262,73438,635,42555,8.23
19,Monster,Manga,VAP,Drama,Madhouse,74,FALSE,49,156,394387,19188,131233,8.69
20,Naruto,Manga,TV Tokyo,Action,Studio Pierrot,220,FALSE,705,10,1091313,39356,716412,7.9
21,One Piece,Manga,Fuji TV,Action,Toei Animation,NA,TRUE,94,36,803871,76869,465454,8.53
22,Tennis no Ouji-sama,Manga,Production I.G,Action,Trans Arts,178,FALSE,577,856,113662,2885,50306,8
23,Ring ni Kakero 1,Manga,,Action,Toei Animation,12,FALSE,5641,6501,2930,18,825,6.54
25,Sunabouzu,Manga,GDH,Action,Gonzo,24,FALSE,1679,1049,89817,673,36185,7.5
26,Texhnolyze,Original,Group TAC,Action,Madhouse,22,FALSE,942,690,138500,2864,32198,7.78
27,Trinity Blood,Light novel,,Action,Gonzo,24,FALSE,2081,695,137800,1403,61471,7.4
28,Yakitate!! Japan,Manga,TV Tokyo,Comedy,Sunrise,69,FALSE,566,1388,65862,785,27616,8.01
29,Zipang,Manga,Marvelous,Action,Studio Deen,26,FALSE,1564,3575,12951,125,4534,7.54
30,Neon Genesis Evangelion,Original,TV Tokyo,Action,Gainax,26,FALSE,215,50,715531,45828,402215,8.33
